grupo glicose
A 84.4
A 87.7
A 105.59
A 90.71
A 91.29
A 107.15
A 94.61
A 77.35
A 83.13
A 85.54
A 102.24
A 93.6
A 94.01
A 91.11
A 84.44
A 107.87
A 94.98
A 70.33
A 97.01
A 85.27
A 79.32
A 87.82
A 79.74
A 82.71
A 83.75
A 73.13
A 98.38
A 91.53
A 78.62
A 102.54
A 94.26
A 87.05
A 98.95
A 98.78
A 98.22
A 96.89
A 95.54
A 89.38
A 86.94
A 86.2
A 83.05
A 87.92
A 77.35
A 111.69
A 102.08
A 78.77
A 85.97
A 85.33
A 97.8
A 89.17
B 152.79
B 149.69
B 149.53
B 165.05
B 147.52
B 166.68
B 132.96
B 156.43
B 151.36
B 152.38
B 154.18
B 144.47
B 146.33
B 138.8
B 138.21
B 153.34
B 154.93
B 150.58
B 160.14
B 172.55
B 144.6
B 124.6
B 161.06
B 142.2
B 142.43
B 161.28
B 146.87
B 136.57
B 151.99
B 148.47
B 150.06
B 154.24
B 145.92
B 157.09
B 147.57
B 153.65
B 162.07
B 154.79
B 146.41
B 162.64
B 160.93
B 156.03
B 152.63
B 143.09
B 164.97
B 143.4
B 174.06
B 166.86
B 147.41
B 138.71
C 136.48
C 148.08
C 142.04
C 140.83
C 133.58
C 144.46
C 135.58
C 124.98
C 140.44
C 156.03
C 138.1
C 152.3
C 125.59
C 144.33
C 151.23
C 148.61
C 146.27
C 137.31
C 134.8
C 132.71
C 146.41
C 133.63
C 139.11
C 141.93
C 167.13
C 137.18
C 147.82
C 145.94
C 133.46
C 144.14
C 162.33
C 150.42
C 145.49
C 139.93
C 120.36
C 158.58
C 127.47
C 153.88
C 167.91
C 127.67
C 153.42
C 141.85
C 126.13
C 126.82
C 125.78
C 138.63
C 127.46
C 153.26
C 170.2
C 129.56
